NAME,PRICE,PEGI,GENRE,MODE,OS,CPU,GPU,RAM,STORAGE
Euro Truck Simulator 2 - Nordic Horizons,"17,99€",N/A,"Indie, Simulation","Online Co-op, Single-player",Windows 10 64-bit,Intel Core i5-6400 or AMD Ryzen 3 1200 or similar,NVIDIA GeForce GTX 660 or AMD Radeon RX 460 or Intel HD 630 (2GB VRAM),8 GB RAM,N/A
Half-Life: Alyx,"3,27€",16+,"Action, Adventure",Single-player,Windows 10,Core i5-7500 / Ryzen 5 1600,GTX 1060 / RX 580 - 6GB VRAM,12 GB RAM,N/A
Red Dead Redemption,"7,99€ / month",18+,Action,Single-player,Windows 10 64-Bit,Intel® Core™ i5-4670 / AMD FX-9590,NVIDIA GeForce GTX 960 / AMD Radeon R7 360,8 GB RAM,12 GB available space
SILENT HILL f,"79,99€",18+,"Action, Adventure",Single-player,Windows 11 x64,Intel Core i5-8400 / AMD Ryzen 5 2600,NVIDIA® GeForce® GTX 1070 Ti or AMD Radeon™ RX 5700,16 GB RAM,50 GB available space
Magic: The Gathering Arena,Free To Play,6+,"Strategy, Free To Play","Cross-Platform Multiplayer, Online PvP",Windows 10,AMD Athlon 64 X2 Dual Core 5600+ or Equivalent,GeForce GTX 8800 or Equivalent,2 GB RAM,N/A
ELDEN RING NIGHTREIGN,"39,99€",16+,"Action, RPG","Online Co-op, Single-player",Windows 10,Intel Core i5-10600 / AMD RYZEN 5 5500,NVIDIA GeForce GTX 1060 3GB / AMD Radeon RX 580 4GB,12 GB RAM,30 GB available space
American Truck Simulator,"19,99€",N/A,"Indie, Simulation","Online Co-op, Single-player",Windows  10 64-bit,Intel Core i5-6400 or AMD Ryzen 3 1200 or similar,NVIDIA GeForce GTX 660 or AMD Radeon RX 460 or Intel HD 630 (2GB VRAM),8 GB RAM,25 GB available space
Raft,"19,99€",12+,"Adventure, Indie, Simulation","Online Co-op, Single-player",N/A,Intel Core i5 2.6GHz or similar,GeForce GTX 700 series or similar,6 GB RAM,10 GB available space
Foundation,"6,68€",N/A,"Indie, Simulation, Strategy",Single-player,Windows 10,Intel Core i5-4460,GTX 960 / R9 290 - 3 GB Video Memory,8 GB RAM,N/A
"Dwarves: Glory, Death and Loot","4,99€",12+,"Adventure, Casual, Indie, RPG, Strategy",Single-player,Windows 10,Intel i3-2100 / AMD A8-5600k,N/A,4 GB RAM,500 MB available space
Ready or Not,"49,99€",18+,"Action, Adventure, Indie","Online Co-op, Single-player","Windows 10, Windows 11",Intel Core i5-4430 / AMD FX-6300,NVIDIA GeForce GTX 960 2GB / AMD Radeon R7 370 2GB,8 GB RAM,60 GB available space
Mount & Blade II: Bannerlord,"49,99€",12+,"Action, Indie, RPG, Simulation, Strategy","Online PvP, Single-player",Windows 10 (64-bit only),Intel® Core™ i3-8100 / AMD Ryzen™ 3 1200 / Snapdragon X Elite,Intel® UHD Graphics 630 / NVIDIA® GeForce® GTX 660 2GB / AMD Radeon™ HD 7850 2GB,6 GB RAM,60 GB available space
Fallout 4,"19,99€",18+,RPG,Single-player,N/A,Intel Core i5-2300 2.8 GHz/AMD Phenom II X4 945 3.0 GHz or equivalent,NVIDIA GTX 550 Ti 2GB/AMD Radeon HD 7870 2GB or equivalent,8 GB RAM,30 GB available space
Tabletop Simulator,"146,27€",12+,"Casual, Indie, RPG, Simulation, Strategy","Cross-Platform Multiplayer, Online Co-op, Online PvP, Shared/Split Screen Co-op, Shared/Split Screen PvP, Single-player",Windows 10 64-bit 21H1+.,SSE2 instruction set support.,Graphics card with DX10 (shader model 4.0) capabilities.,4 GB RAM,3 GB available space
Grounded 2,"29,99€",12+,"Action, Adventure, Early Access","Online Co-op, Single-player",Windows 10/11 with updates,AMD Ryzen 5 2600 / Intel i5-8400,AMD RX 5700 / Nvidia GTX 1070 / Intel Arc A580,16 GB RAM,40 GB available space
Resident Evil Requiem,"69,99€",18+,"Action, Adventure",Single-player,Windows 11 (64bit required),Intel corei5-8500 / AMD Ryzen 5 3500,GeForce GTX 1660 6GB /  Radeon RX 5500 XT 8GB,16 GB RAM,N/A
PEAK,"7,49€",12+,"Action, Adventure, Indie","Online Co-op, Single-player",Win 10,Intel Core i5 @ 2.5 GHz or equivalent,GTX 1060 or RX 6600 XT,8 GB RAM,4 GB available space
BALL x PIT,"6,39€",6+,"Action, Indie",Single-player,Windows 10 x64,Intel Core i5-2500K / AMD Athlon X4 860K,GeForce GTX 750 / Radeon R7 260X,8 GB RAM,600 MB available space
Split Fiction,"49,99€",12+,"Action, Adventure","Cross-Platform Multiplayer, Online Co-op, Shared/Split Screen Co-op",64 bit Windows 10/11,Intel Core i5-6600K or AMD Ryzen 5 2600X,NVIDIA GeForce GTX 970 - 4GB or Radeon RX 470 - 4GB,16 GB RAM,85 GB available space
Satisfactory,"38,99€",6+,"Adventure, Indie, Simulation, Strategy","Cross-Platform Multiplayer, Online Co-op, Single-player",Windows 10 or later (64-Bit),i5-3570 3.4 GHz 4 Core,"Nvidia GTX 1650/GTX 1050-ti, or AMD RX 470/RX 570, or equivalent performance & VRAM",8 GB RAM,20 GB available space
ARK: Survival Evolved,"14,79€",16+,"Action, Adventure, Indie, Massively Multiplayer, RPG","MMO, Single-player",OSX 10.9 or Higher,Intel Core i5-2400/AMD FX-8320 or better,NVIDIA GTX 670 2GB/AMD Radeon HD 7870 2GB or better,8 GB RAM,60 GB available space
